header,expid,year,season,host,route1,route2,route3,route4,nation,leaders,success1,success2,success3,success4,totmembers,abcmembers,smtmembers,mdeaths,mabcdeaths,tothired,smthired,hdeaths,habcdeaths
Expeditions to Dhaulagiri I (8167m),,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
1900 to 2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
21/03/2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
The Himalayan Database,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,DHA100101,2000,1,1,NE Ridge,,,,Switzerland,Peter Stadler,FALSE,FALSE,FALSE,FALSE,12,12,0,0,0,3,0,0,0
,DHA100102,2000,1,1,NE Ridge,,,,Germany,Hajo Netzer,FALSE,FALSE,FALSE,FALSE,11,9,0,0,0,3,0,0,0
,DHA100301,2000,3,1,N Face (Pear rte),,,,S Korea,Han Gab-Hyun,FALSE,FALSE,FALSE,FALSE,9,9,0,1,1,3,0,0,0
,DHA100302,2000,3,1,NE Ridge,,,,Japan,Takao Suzuki,FALSE,FALSE,FALSE,FALSE,9,9,0,0,0,7,0,1,1
,DHA100303,2000,3,1,NE Ridge,,,,France,Paulo Grobel,FALSE,FALSE,FALSE,FALSE,8,8,0,0,0,3,0,0,0
,DHA101301,2001,3,1,NE Ridge,,,,Italy,Adriano Favre,TRUE,FALSE,FALSE,FALSE,11,11,4,0,0,4,0,0,0
,DHA101302,2001,3,1,NE Ridge,,,,Germany,Barbara Hirschbichler,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,3,0,0,0
,DHA101303,2001,3,1,NE Ridge,,,,Spain,Jose Antonio Garces,TRUE,FALSE,FALSE,FALSE,5,5,1,1,1,2,0,0,0
