header,expid,year,season,host,route1,route2,route3,route4,nation,leaders,success1,success2,success3,success4,totmembers,abcmembers,smtmembers,mdeaths,mabcdeaths,tothired,smthired,hdeaths,habcdeaths
Expeditions to Manaslu (8163m),,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
1900 to 2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
21/03/2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
The Himalayan Database,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,MANA00101,2000,1,1,NE Face,,,,Spain,Felix Inurrategi,TRUE,FALSE,FALSE,FALSE,4,4,3,0,0,0,0,0,0
,MANA00102,2000,1,1,NE Face,,,,France,Jean-Christophe Lafaille,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,3,0,0,0
,MANA00103,2000,1,1,NE Face,,,,S Korea,Han Wang-Yong,TRUE,FALSE,FALSE,FALSE,7,5,1,0,0,0,0,0,0
,MANA00104,2000,1,1,NE Ridge,,,,Italy,Franco Brunello,TRUE,FALSE,FALSE,FALSE,7,7,4,0,0,1,1,0,0
,MANA00301,2000,3,1,NE Face,,,,Spain,David Rosa,FALSE,FALSE,FALSE,FALSE,6,6,0,0,0,2,0,0,0
,MANA01101,2001,1,1,NE Face (variation),,,,Italy,Diego Stefani,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,3,0,0,0
,MANA01102,2001,1,1,NE Face,,,,Poland,Krzysztof Tarasewicz,FALSE,FALSE,FALSE,FALSE,9,8,0,0,0,0,0,0,0
,MANA01103,2001,1,1,"SE Face-SE Spur up, NE side down",,,,Ukraine,Mstislav Gorbenko,TRUE,FALSE,FALSE,FALSE,15,9,3,0,0,0,0,0,0
,MANA01301,2001,3,1,NE Face,,,,Czech Republic,Josef Kubicek,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,1,0,0,0
,MANA01302,2001,3,1,NE Face,,,,Japan,Kazuyoshi Kondo,TRUE,FALSE,FALSE,FALSE,6,6,3,1,1,4,3,0,0
,MANA02101,2002,1,1,NE Face,,,,USA,Tom Fitzsimmons,TRUE,FALSE,FALSE,FALSE,6,6,5,0,0,3,2,0,0
,MANA02102,2002,1,1,NE Face,,,,Australia,Greg Mortimer,TRUE,FALSE,FALSE,FALSE,5,5,4,0,0,2,1,0,0
,MANA02103,2002,1,1,NE Face,,,,Spain,Gorka Ripodas Perez,FALSE,FALSE,FALSE,FALSE,5,5,0,0,0,3,0,0,0
,MANA02104,2002,1,1,NE Face-N Plateau-Summit Plateau,,,,Norway,Sven Gangdal,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,3,2,0,0
,MANA02105,2002,1,1,NE Face (Norwegian rte),,,,Australia,Andrew Lock,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0,0,0,0
,MANA02106,2002,1,1,NE Face,,,,Japan,Hirofumi Konishi,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,3,0,0,0
,MANA02107,2002,1,1,NE Face-N Col,,,,Italy,"Renzo Corona, Gerlinde Kaltenbrunner",TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,1,1,0,0
,MANA02108,2002,1,1,NE Face,,,,Germany,Ralf Dujmovits,TRUE,FALSE,FALSE,FALSE,18,18,8,0,0,3,2,0,0
,MANA03101,2003,1,1,NE Face,,,,Poland,Piotr Pustelnik,TRUE,FALSE,FALSE,FALSE,7,6,2,0,0,0,0,0,0
,MANA03102,2003,1,1,NE Face,,,,Netherlands,Robert Steenmeijer,FALSE,FALSE,FALSE,FALSE,11,11,0,0,0,3,0,0,0
,MANA03103,2003,1,1,NE Face,,,,Georgia,Gia Tortladze,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0
,MANA03104,2003,1,1,NE Face,,,,Slovenia,Franc Pepevnik,FALSE,FALSE,FALSE,FALSE,7,7,0,0,0,3,0,0,0
,MANA03105,2003,1,1,NE Face,,,,USA,Dan Mazur,FALSE,FALSE,FALSE,FALSE,10,10,0,0,0,8,0,0,0
,MANA04101,2004,1,1,NE Face,,,,Spain,Alberto Ayora,FALSE,FALSE,FALSE,FALSE,10,10,0,0,0,1,0,0,0
,MANA04102,2004,1,1,NE Face,,,,Switzerland,Ernst Marti,FALSE,FALSE,FALSE,FALSE,3,3,0,0,0,1,0,0,0
,MANA04301,2004,3,1,NE Face,,,,Italy,Roberto Piantoni,FALSE,FALSE,FALSE,FALSE,6,5,0,0,0,0,0,0,0
,MANA04302,2004,3,1,NE Face,,,,Austria,Stefan Jungmann,FALSE,FALSE,FALSE,FALSE,3,3,0,0,0,0,0,0,0
,MANA04303,2004,3,1,NE Face,,,,Japan,Eiichi Usami,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,3,0,0,0
