header,expid,year,season,host,route1,route2,route3,route4,nation,leaders,success1,success2,success3,success4,totmembers,abcmembers,smtmembers,mdeaths,mabcdeaths,tothired,smthired,hdeaths,habcdeaths
Expeditions to Lhotse (8516m),,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
1900 to 2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
21/03/2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
The Himalayan Database,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,LHOT00101,2000,1,1,W Face,,,,Slovenia,Tomaz Zerovnik,TRUE,FALSE,FALSE,FALSE,8,8,2,0,0,2,0,0,0
,LHOT00102,2000,1,1,W Face,,,,Bulgaria,Independent climbers,TRUE,FALSE,FALSE,FALSE,4,4,2,0,0,0,0,0,0
,LHOT00103,2000,1,1,W Face,,,,S Africa,Cathy O'Dowd,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,3,1,0,0
,LHOT00104,2000,1,1,W Face,,,,Georgia,Beno Kashakashvili,TRUE,FALSE,FALSE,FALSE,9,9,9,0,0,5,1,0,0
,LHOT00105,2000,1,1,W Face,,,,UK,Henry Todd,FALSE,FALSE,FALSE,FALSE,5,4,0,0,0,2,0,0,0
,LHOT00106,2000,1,1,W Face,,,,Russia,Dmitri Moskalev,FALSE,FALSE,FALSE,FALSE,2,2,0,0,0,0,0,0,0
,LHOT00301,2000,3,1,W Face,,,,Spain,Jesus Martinez,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0,0,0,0
,LHOT00302,2000,3,1,W Face,,,,S Korea,Kim Young-Moon,TRUE,FALSE,FALSE,FALSE,7,7,3,0,0,8,0,0,0
,LHOT00303,2000,3,1,E section of S Face of Lhotse & Lhotse Shar,,,,Russia,Mikhail Turkevich,FALSE,FALSE,FALSE,FALSE,21,20,0,1,1,2,0,0,0
,LHOT00304,2000,3,1,W Face,,,,S Korea,Yoon Hong-Keun,TRUE,FALSE,FALSE,FALSE,3,2,2,0,0,8,1,0,0
,LHOT01101,2001,1,1,W Face,,,,USA,Gary Pfisterer,TRUE,FALSE,FALSE,FALSE,11,11,1,0,0,0,0,0,0
,LHOT01102,2001,1,1,W Face,,,,Italy,Simone Moro,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0,0,0,0
,LHOT01103,2001,1,1,W Face,,,,UK,Peta Watts,TRUE,FALSE,FALSE,FALSE,7,7,3,0,0,1,1,0,0
