header,expid,year,season,host,route1,route2,route3,route4,nation,leaders,success1,success2,success3,success4,totmembers,abcmembers,smtmembers,mdeaths,mabcdeaths,tothired,smthired,hdeaths,habcdeaths
Expeditions to Everest (8850m),,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
1900 to 2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
21/03/2020,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
The Himalayan Database,,,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0
,EVER00101,2000,1,1,S Col-SE Ridge,,,,USA,Andrew Lock,TRUE,FALSE,FALSE,FALSE,9,7,2,0,0,4,1,0,0
,EVER00102,2000,1,1,S Col-SE Ridge,,,,Italy,Simone Moro,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0,0,0,0
,EVER00103,2000,1,1,S Col-SE Ridge,,,,Spain,Carlos Soria,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,EVER00104,2000,1,1,S Col-SE Ridge,,,,UK,Gavin Bate,TRUE,FALSE,FALSE,FALSE,8,6,3,0,0,5,2,0,0
,EVER00105,2000,1,1,S Col-SE Ridge,,,,Spain,Manuel Gonzalez,TRUE,FALSE,FALSE,FALSE,9,8,3,0,0,6,0,0,0
,EVER00106,2000,1,1,S Col-SE Ridge,,,,Spain,Antoni Bahi,TRUE,FALSE,FALSE,FALSE,9,8,2,0,0,5,2,0,0
,EVER00107,2000,1,1,S Pillar,,,,Denmark,Henrik Hansen,TRUE,FALSE,FALSE,FALSE,7,6,2,0,0,6,3,0,0
,EVER00108,2000,1,1,S Col-SE Ridge,,,,Israel,Gdaliahu Shtirmer,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,EVER00109,2000,1,1,S Couloir,,,,Spain,Joan Tomas Gebelli,FALSE,FALSE,FALSE,FALSE,7,6,0,0,0,3,0,0,0
,EVER00110,2000,1,1,S Col-SE Ridge,,,,Poland,Anna Czerwinska,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,EVER00111,2000,1,1,S Col-SE Ridge,,,,USA,Vernon Tejas,TRUE,FALSE,FALSE,FALSE,8,7,0,0,0,15,3,0,0
,EVER00112,2000,1,1,S Col-SE Ridge,,,,Nepal,Babu Tsering (Babu Chiri),TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,2,1,0,0
,EVER00113,2000,1,1,S Col-SE Ridge,,,,Nepal,Bhakta Bahadur Thakuri,FALSE,FALSE,FALSE,FALSE,3,2,0,0,0,4,0,0,0
,EVER00114,2000,1,1,S Col-SE Ridge,,,,USA,Robert Hoffman,TRUE,FALSE,FALSE,FALSE,14,10,3,0,0,11,10,0,0
,EVER00115,2000,1,1,S Col-SE Ridge,,,,USA,Christine Boskoff,TRUE,FALSE,FALSE,FALSE,5,4,2,0,0,10,5,0,0
,EVER00116,2000,1,1,S Col-SE Ridge,,,,Nepal,Lhakpa Sherpa,TRUE,FALSE,FALSE,FALSE,5,5,1,0,0,4,3,0,0
,EVER00117,2000,1,1,S Col-SE Ridge,,,,Canada,Byron Smith,TRUE,FALSE,FALSE,FALSE,7,2,1,0,0,12,7,0,0
,EVER00118,2000,1,1,S Col-SE Ridge,,,,Canada,Ben Webster,TRUE,FALSE,FALSE,FALSE,5,4,1,0,0,6,0,0,0
,EVER00119,2000,1,1,S Col-SE Ridge,,,,USA,Robert Link,TRUE,FALSE,FALSE,FALSE,11,8,2,0,0,10,3,0,0
,EVER00120,2000,1,1,S Col-SE Ridge,,,,UK,Henry Todd,TRUE,FALSE,FALSE,FALSE,17,15,6,0,0,9,1,0,0
,EVER00121,2000,1,1,S Col-SE Ridge,,,,S Korea,Son Joong-Ho,TRUE,FALSE,FALSE,FALSE,7,6,2,0,0,4,0,0,0
,EVER00122,2000,1,1,S Col-SE Ridge,,,,Canada,Gabriel Filippi,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
,EVER00123,2000,1,1,S Col-SE Ridge,,,,USA,Saeed Toossi,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,1,1,0,0
,EVER00124,2000,1,1,S Col-SE Ridge,,,,Mexico,Hugo Rodriguez,FALSE,FALSE,FALSE,FALSE,3,1,0,0,0,5,0,0,0
,EVER00125,2000,1,1,S Col-SE Ridge,,,,USA,Bill Zachary,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,1,0,0,0
